rank,code,name,sector,sector_type,sector_rank,sector_heat_score,sector_is_mainline,score,score_breakdown,trend_score,fund_score,volume_score,strength_score,risk_penalty,ma20_score,ma_score,breakout_score,risk_score,market_cap_score,sector_heat_bonus,close,ma5,ma10,ma20,volume_ratio,turnover_rate,amount,breakout_margin,sector_pct_change,sector_main_net_inflow,main_net_inflow,main_net_inflow_5d,circulating_market_cap,buy_range,stop_loss,first_target,reasons,risks,action
1,600183,生益科技,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,73.3,"{'MA20评分': 29.4, '均线评分': 25.0, '量能评分': 5.5, '突破评分': 0.4, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 10.0, '风险扣分': -2.0}",54.44,10.0,5.47,0.41,2.0,29.44,25.0,0.41,-2.0,10.0,5.0,167.87,179.158,165.758,151.347,1.145,4.169,17118007294.02,-0.1251,0.0,0.0,0.0,0.0,407776245140.10004,165.35 - 170.39,149.08,181.3,收盘价高于20日均线10.9%；均线多头排列，MA5/MA10距离8.1%，MA10/MA20距离9.5%；成交量为5日均量1.15倍；成交量为10日均量1.16倍；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
2,600160,巨化股份,C26化学原料和化学制品制造业,行业,0,0.0,False,69.0,"{'MA20评分': 27.4, '均线评分': 25.0, '量能评分': 5.4, '突破评分': 0.4, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 5.0, '风险扣分': -4.1}",52.39,5.0,5.36,0.37,4.08,27.39,25.0,0.37,-4.08,10.0,5.0,46.85,46.78,44.199,40.477,1.025,5.169,6733569275.82,-0.0346,0.0,0.0,0.0,0.0,126483103894.85,46.15 - 47.55,39.87,50.6,收盘价高于20日均线15.7%；均线多头排列，MA5/MA10距离5.8%，MA10/MA20距离9.2%；成交量为5日均量1.03倍；成交量为10日均量1.16倍；OBV趋势向上；行业C26化学原料和化学制品制造业热度评分0.00,距离20日均线过远扣2.1分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
3,600460,士兰微,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,62.9,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 8.0, '突破评分': 6.9, '市值评分': 6.0, '板块热度': 5.0, '资金评分': 12.6, '风险扣分': -18.0}",55.0,12.65,8.02,6.9,18.0,30.0,25.0,6.9,-18.0,6.0,5.0,47.04,42.556,38.173,36.309,1.159,11.142,8666760434.02,0.0224,0.0,0.0,0.0,0.0,78277939588.8,46.33 - 47.75,35.76,50.8,收盘价高于20日均线29.6%；均线多头排列，MA5/MA10距离11.5%，MA10/MA20距离5.1%；成交量为5日均量1.16倍；成交量为10日均量1.59倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,最近10日涨幅过大扣3.3分；距离20日均线过远扣9.8分；当日长上影线明显扣2.5分；波动异常扣0.5分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
4,600392,盛和资源,C32有色金属冶炼和压延加工业,行业,0,0.0,False,62.5,"{'MA20评分': 27.8, '均线评分': 25.0, '量能评分': 6.8, '突破评分': 2.0, '市值评分': 6.0, '板块热度': 4.4, '资金评分': 5.0, '风险扣分': -9.5}",52.83,5.0,6.77,2.0,9.48,27.83,25.0,2.0,-9.48,6.0,4.38,31.03,30.996,27.969,25.36,0.961,12.979,7355651807.8,-0.1032,0.0,0.0,0.0,0.0,54390208467.1,30.56 - 31.50,24.98,33.51,收盘价高于20日均线22.4%；均线多头排列，MA5/MA10距离10.8%，MA10/MA20距离10.3%；成交量为10日均量1.32倍；OBV趋势向上；行业C32有色金属冶炼和压延加工业热度评分0.00,最近10日涨幅过大扣1.7分；距离20日均线过远扣5.8分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
5,600141,兴发集团,C26化学原料和化学制品制造业,行业,0,0.0,False,61.3,"{'MA20评分': 24.7, '均线评分': 25.0, '量能评分': 7.3, '突破评分': 1.1, '市值评分': 6.0, '板块热度': 5.0, '资金评分': 5.0, '风险扣分': -7.6}",49.68,5.0,7.26,1.05,7.64,24.68,25.0,1.05,-7.64,6.0,5.0,39.24,39.318,35.912,33.523,1.163,7.675,3787233314.54,-0.065,0.0,0.0,0.0,0.0,47156271988.68,38.65 - 39.83,33.02,42.38,收盘价高于20日均线17.1%；均线多头排列，MA5/MA10距离9.5%，MA10/MA20距离7.1%；成交量为5日均量1.16倍；成交量为10日均量1.51倍；OBV趋势向上；行业C26化学原料和化学制品制造业热度评分0.00,最近10日涨幅过大扣2.8分；距离20日均线过远扣2.8分；波动异常扣0.0分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
6,600110,诺德股份,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,60.6,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 5.1, '突破评分': 1.5, '市值评分': 3.0, '板块热度': 5.0, '资金评分': 5.0, '风险扣分': -9.1}",55.0,5.0,5.13,1.5,9.07,30.0,25.0,1.5,-9.07,3.0,5.0,15.44,16.606,14.643,13.085,0.852,9.248,2507941933.78,-0.1618,0.0,0.0,0.0,0.0,26791193590.079998,15.21 - 15.67,12.89,16.68,收盘价高于20日均线18.0%；均线多头排列，MA5/MA10距离13.4%，MA10/MA20距离11.9%；OBV趋势向上；行业C39计算机、通信和其他电子设备制造业热度评分0.00,最近10日涨幅过大扣2.8分；距离20日均线过远扣3.3分；波动异常扣1.0分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
7,600063,皖维高新,C26化学原料和化学制品制造业,行业,0,0.0,False,60.0,"{'MA20评分': 22.9, '均线评分': 25.0, '量能评分': 5.2, '突破评分': 1.1, '市值评分': 3.0, '板块热度': 5.0, '资金评分': 5.0, '风险扣分': -2.1}",47.86,5.0,5.2,1.05,2.11,22.86,25.0,1.05,-2.11,3.0,5.0,8.22,8.452,8.159,7.672,0.909,8.678,1505361996.4,-0.0887,0.0,0.0,0.0,0.0,17008055010.78,8.10 - 8.34,7.56,8.88,收盘价高于20日均线7.1%；均线多头排列，MA5/MA10距离3.6%，MA10/MA20距离6.3%；OBV趋势向上；行业C26化学原料和化学制品制造业热度评分0.00,波动异常扣0.1分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
8,600105,永鼎股份,C38电气机械和器材制造业,行业,0,0.0,False,59.7,"{'MA20评分': 27.3, '均线评分': 25.0, '量能评分': 5.9, '突破评分': 3.1, '市值评分': 10.0, '板块热度': 0.6, '资金评分': 10.0, '风险扣分': -12.2}",52.3,10.0,5.87,3.1,12.15,27.3,25.0,3.1,-12.15,10.0,0.62,62.49,62.056,57.664,53.856,0.977,9.537,8952161426.78,-0.0439,0.0,0.0,0.0,0.0,91360055176.98,61.55 - 63.43,53.05,67.49,收盘价高于20日均线16.0%；均线多头排列，MA5/MA10距离7.6%，MA10/MA20距离7.1%；OBV趋势向上；OBV接近或创阶段新高；行业C38电气机械和器材制造业热度评分0.00,距离20日均线过远扣2.2分；当日长上影线明显扣7.9分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
9,600367,红星发展,C26化学原料和化学制品制造业,行业,0,0.0,False,59.4,"{'MA20评分': 30.0, '均线评分': 21.3, '量能评分': 5.8, '突破评分': 0.8, '市值评分': 3.0, '板块热度': 5.0, '资金评分': 10.0, '风险扣分': -6.4}",51.25,10.0,5.78,0.83,6.43,30.0,21.25,0.83,-6.43,3.0,5.0,56.0,57.682,56.385,47.767,0.995,15.516,2939140701.06,-0.1,0.0,0.0,0.0,0.0,19103330512.0,55.16 - 56.84,47.05,60.48,收盘价高于20日均线17.2%；均线多头排列，MA5/MA10距离2.3%，MA10/MA20距离18.0%；OBV趋势向上；OBV接近或创阶段新高；行业C26化学原料和化学制品制造业热度评分0.00,距离20日均线过远扣2.9分；波动异常扣1.5分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
10,600500,中化国际,C26化学原料和化学制品制造业,行业,0,0.0,False,58.3,"{'MA20评分': 29.5, '均线评分': 25.0, '量能评分': 5.5, '突破评分': 0.0, '市值评分': 3.0, '板块热度': 5.0, '资金评分': 0.0, '风险扣分': -9.8}",54.52,0.0,5.54,0.0,9.75,29.52,25.0,0.0,-9.75,3.0,5.0,8.04,8.778,7.977,6.828,0.789,8.8,2656397861.94,-0.1838,0.0,0.0,0.0,0.0,28849982676.119995,7.92 - 8.16,6.73,8.68,收盘价高于20日均线17.8%；均线多头排列，MA5/MA10距离10.0%，MA10/MA20距离16.8%；成交量为10日均量1.14倍；行业C26化学原料和化学制品制造业热度评分0.00,最近10日涨幅过大扣3.7分；距离20日均线过远扣3.2分；波动异常扣0.8分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
